date,incomes
2019-01-16,100000.0
2019-01-17,103618.24185078229
2019-01-18,107010.72001807117
2019-01-20,110127.4014651913
2019-01-21,113058.14496695297
2019-01-22,115916.38441336219
2019-01-23,118670.86861476283
2019-01-24,121518.78643975
2019-01-25,124185.17123148564
2019-01-27,126628.64856869135
2019-01-28,128902.56756718595
2019-01-29,131183.35768654698
2019-01-30,133286.09519895908
2019-01-31,135352.10197641296
2019-02-01,137214.46875370046
2019-02-03,138849.78022865858
2019-02-04,140223.42380879133
2019-02-05,141398.34259511856
2019-02-06,142277.1529334182
2019-02-07,143170.92422622707
2019-02-08,143895.25615271064
2019-02-10,144610.24198562675
2019-02-11,145266.98189696646
2019-02-12,145747.17162443203
2019-02-13,146175.12210626964
2019-02-14,146688.1429860206
2019-02-15,147406.61171997146
2019-02-17,148394.51037784867
2019-02-18,149344.8435043313
2019-02-19,150325.85919137098
2019-02-20,151420.8248624102
2019-02-21,152472.95975073313
2019-02-22,153641.64126817387
2019-02-24,154841.8839645293
2019-02-25,156031.81442012012
2019-02-26,157308.8143669961
2019-02-27,158492.08457673516
2019-02-28,159667.65427663818
2019-03-01,160873.86562058178
2019-03-03,162072.1557024467
2019-03-04,163361.20420702695
2019-03-05,164702.6585624932
2019-03-06,166109.31585214077
2019-03-07,167526.79790327844
2019-03-08,168948.48379100143
2019-03-10,170141.21402833168
2019-03-11,171147.40859011043
2019-03-12,172000.00753680622
2019-03-13,172746.77942728455
2019-03-14,173376.01759456075
2019-03-15,173805.50877136033
2019-03-17,174021.26967727326
2019-03-18,174240.4435101529
2019-03-19,174427.28137377946
2019-03-20,174590.3330303086
2019-03-21,174732.8349249296
2019-03-22,174818.4171459967
2019-03-24,174849.8607922253
2019-03-25,174941.62248560027
2019-03-26,174887.55037904406
2019-03-27,174903.47304572997
2019-03-28,174859.70417005062
2019-03-29,174721.10047524807
2019-03-31,174554.1888744915
2019-04-01,174306.7072990243
2019-04-02,173979.41048340965
2019-04-03,173542.59323941055
2019-04-04,173047.2390007642
2019-04-05,172506.16555744555
2019-04-07,171960.63953149982
2019-04-08,171358.8224492424
2019-04-09,170783.31608605364
2019-04-10,170131.0471786661
2019-04-11,169523.98068763898
2019-04-12,168944.81264166656
2019-04-14,168278.200624408
2019-04-15,167712.69893500465
2019-04-16,167286.202162433
2019-04-17,166875.04550950095
2019-04-18,166455.59927862653
2019-04-19,165833.9817552752
2019-04-21,165192.34747232415
2019-04-22,164374.19945567977
2019-04-23,163646.11803084437
2019-04-24,163062.0649564494
2019-04-25,162559.46776231445
2019-04-26,162143.98934995907
2019-04-28,161744.2379863266
2019-04-29,161331.02789117926
2019-04-30,161008.9913567129
2019-05-01,160798.00235037942
2019-05-02,160636.5345370853
2019-05-03,160536.47186280086
2019-05-05,160516.5081598375
2019-05-06,160504.74255235327
2019-05-07,160564.96746787798
2019-05-08,160640.37135770352
2019-05-09,160776.06423782714
2019-05-10,160927.95076266423
2019-05-12,161207.30409823297
2019-05-13,161609.00480429112
2019-05-14,161976.6132618619
2019-05-15,162345.26536447057
2019-05-16,162670.5472484076
2019-05-17,163177.62588423013
2019-05-19,163724.42298598986
2019-05-20,164421.29478592472
2019-05-21,165141.92725341435
2019-05-22,165758.60111812147
