user_currency,user_country,start_mifid_days,has_finished_mifid,finish_mifid_days,has_deposit,first_deposit_days,first_deposit_amount,first_deposit_platform,mifid_actual_savings,mifid_next_year_savings,mifid_qualifications,mifid_experience,mifid_money_other_brokers,mifid_invested_other_brokers,user_flow_name,first_trade_investor_account_demo_days,conversion
EUR,36,0,0,,0,,0,1,8,8,0,0,1,8,0,,0
USD,77,0,0,,0,,0,1,12,13,0,0,1,12,3,,0
EUR,29,0,1,0,0,,0,1,8,8,1,1,1,5,3,,0
EUR,36,0,0,,0,,0,1,12,12,0,0,0,0,3,,0
EUR,36,0,0,,0,,0,1,7,7,1,0,1,8,3,,0
EUR,36,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
EUR,36,0,1,3,0,,0,1,12,12,1,0,1,12,2,0,0
USD,25,0,1,1,0,,0,1,12,13,0,0,1,12,3,1,0
EUR,24,0,1,0,0,,0,1,8,6,0,0,0,0,3,,0
USD,26,0,1,3,0,,0,1,12,13,1,0,0,0,3,,0
EUR,36,0,0,,0,,0,1,12,12,0,0,0,0,3,,0
USD,22,0,1,1,0,,0,1,5,13,1,0,1,5,3,,0
USD,25,0,0,,0,,0,1,5,7,1,1,1,13,2,0,0
EUR,29,0,1,1,0,,0,1,12,12,0,0,0,0,3,,0
USD,117,0,1,0,0,,0,1,12,13,1,0,0,0,0,0,0
EUR,91,0,1,0,0,,0,1,11,11,1,0,1,11,3,,0
EUR,81,0,1,0,1,1,38.58322401419862643722509453,0,9,8,1,0,1,5,3,,0
USD,25,0,0,,0,,0,1,12,5,0,0,0,0,0,,0
USD,25,0,1,1,0,,0,1,12,12,1,0,0,0,0,,0
EUR,36,0,0,,0,,0,1,8,7,0,0,1,13,3,,0
EUR,36,0,1,4,0,,0,1,12,13,0,0,0,0,3,,0
EUR,36,0,0,,0,,0,1,13,5,0,0,0,0,3,,0
USD,1,0,1,1,0,,0,1,8,9,0,0,0,0,3,,0
USD,33,0,0,,0,,0,1,12,13,0,1,1,12,3,,0
EUR,36,0,0,,0,,0,1,13,13,0,0,1,12,3,,0
EUR,36,0,1,2,0,,0,1,12,13,0,0,0,0,3,,0
EUR,51,1,1,3,1,3,3.858322401419862643722509453,0,8,6,1,1,1,6,3,3,0
USD,77,0,0,,0,,0,1,12,5,0,0,0,0,0,0,0
USD,77,0,1,0,0,,0,1,13,12,0,0,1,12,3,0,0
EUR,36,0,1,1,0,,0,1,6,6,1,1,1,7,0,0,0
USD,85,0,1,4,0,,0,1,6,7,1,0,0,0,3,,0
EUR,36,0,0,,0,,0,1,13,5,0,1,1,12,2,0,0
USD,25,0,0,,0,,0,1,7,7,1,0,0,0,0,,0
USD,49,0,1,0,1,0,3.858322401419862643722509453,3,7,7,1,1,0,0,0,0,0
USD,25,3,0,,0,,0,1,5,5,0,0,1,13,0,,0
USD,22,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
USD,85,0,0,,0,,0,1,12,12,0,0,0,0,3,,0
EUR,36,2,1,9,0,,0,1,12,13,1,0,0,0,3,0,0
USD,24,0,0,,0,,0,1,13,13,0,0,1,13,3,,0
EUR,36,0,0,,0,,0,1,12,13,0,0,1,12,3,,0
EUR,36,0,0,,0,,0,1,12,13,1,1,0,0,0,,0
EUR,38,0,0,,0,,0,1,0,0,0,0,0,0,0,,0
EUR,102,0,1,0,0,,0,1,8,7,1,1,1,5,3,,0
