user_currency,user_country,start_mifid_days,has_finished_mifid,finish_mifid_days,has_deposit,first_deposit_days,first_deposit_amount,first_deposit_platform,mifid_actual_savings,mifid_next_year_savings,mifid_qualifications,mifid_money_other_brokers,mifid_invested_other_brokers,mifid_experience,has_linked_account,linked_account_days,has_demo_account,demo_account_days,has_demo_trade,demo_trade_days,has_mock_account,mock_account_days,user_flow_name,days_until_conversion_or_today,is_converted
EUR,46,0.0,1,0.0,1,2.0,4,0,13,13,1,1,12,1,0,,0,,0,,0,,2,2,1
USD,101,0.0,1,1.0,1,1.0,4,3,8,5,0,1,7,0,0,,0,,0,,0,,2,2,1
EUR,46,0.0,0,,0,,0,1,12,13,1,1,12,0,0,,0,,0,,0,,2,8,0
USD,43,0.0,1,1.0,0,,0,1,12,5,1,0,0,0,0,,0,,0,,0,,2,8,0
USD,8,1.0,0,,0,,0,1,13,5,1,1,12,1,0,,0,,0,,0,,2,8,0
EUR,46,0.0,1,1.0,0,,0,1,7,8,1,1,5,1,0,,0,,0,,0,,2,8,0
EUR,46,7.0,0,,0,,0,1,13,7,0,1,12,0,0,,0,,0,,0,,2,8,0
USD,161,0.0,0,,0,,0,1,13,13,1,1,12,1,0,,0,,0,,0,,2,8,0
USD,8,0.0,0,,0,,0,1,12,13,0,1,12,1,0,,0,,0,,0,,2,8,0
EUR,46,0.0,0,,0,,0,1,12,13,0,0,0,0,0,,0,,0,,0,,2,8,0
EUR,8,0.0,1,0.0,0,,0,1,13,5,1,1,12,1,0,,0,,0,,0,,2,8,0
EUR,116,0.0,1,0.0,0,,0,1,6,5,0,1,12,0,0,,0,,0,,0,,2,8,0
USD,101,0.0,1,0.0,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,8,0
EUR,46,4.0,1,4.0,0,,0,1,7,7,0,1,12,0,0,,0,,0,,0,,0,8,0
USD,53,0.0,0,,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,8,0
USD,22,0.0,1,1.0,0,,0,1,7,9,1,1,6,1,0,,0,,0,,0,,2,8,0
EUR,149,0.0,0,,0,,0,1,12,12,0,1,12,1,0,,0,,0,,0,,2,8,0
USD,100,0.0,1,1.0,0,,0,1,13,13,0,0,0,0,0,,0,,0,,0,,2,9,0
USD,46,0.0,1,1.0,0,,0,1,13,6,1,1,13,1,0,,0,,0,,0,,2,9,0
USD,8,0.0,0,,0,,0,1,13,13,1,1,12,1,0,,0,,0,,0,,2,9,0
EUR,46,2.0,1,5.0,0,,0,1,13,6,1,0,0,0,0,,0,,0,,0,,2,9,0
EUR,46,0.0,1,1.0,0,,0,1,8,5,1,1,13,1,0,,0,,0,,0,,2,9,0
